,epoch,t_dice_0,t_dice_1,t_dice_2,t_dice_3,v_dice_0,v_dice_1,v_dice_2,v_dice_3,t_loss,v_loss
0,1.0,0.7870184675852457,0.04027067912121614,0.016635506693273783,0.018812849985394373,0.8797599226236343,0.029332368168979883,0.014486528700217605,0.01737809064798057,1.109695833524068,0.9909138083457947
1,2.0,0.9255771104494731,0.09157377464075883,0.019935716409236193,0.0227933563098001,0.9439001977443695,0.04463878087699413,0.011079032206907868,0.0255808113142848,0.9460289080937704,0.901009812951088
2,3.0,0.9611104130744934,0.1687760828435421,0.025585389366994303,0.04741551437046534,0.964658334851265,0.08569386787712574,0.010496286675333977,0.006034955644281581,0.8573711363474528,0.8226979821920395
3,4.0,0.9762494587898254,0.25094528347253797,0.02937782025585572,0.06060693428541223,0.9807600677013397,0.13674421794712543,0.018351634964346886,0.0281780909281224,0.7909470637639363,0.7469772547483444
4,5.0,0.98638436794281,0.3543785709142685,0.07309235220154127,0.048255409048482155,0.9892620742321014,0.24159176275134087,0.052206539548933506,0.02870829962193966,0.7243493970235189,0.6949487328529358
5,6.0,0.9907906635602315,0.4545806415875753,0.0889487990240256,0.052661288247133294,0.9934849143028259,0.33902454376220703,0.06890254653990269,0.02731934259645641,0.6649093325932821,0.6413372308015823
6,7.0,0.9926735870043437,0.5103318870067597,0.128379336198171,0.05881605253865321,0.9918368607759476,0.3393283262848854,0.09426957927644253,0.055736192502081394,0.6192969783147176,0.6197923868894577
7,8.0,0.9933757535616556,0.5258812077840169,0.14720539182424544,0.06682904841999213,0.9941049367189407,0.3503505662083626,0.07664915733039379,0.045902212616056204,0.5823039388656617,0.5603630244731903
8,9.0,0.9938343079884847,0.5424126489957174,0.1736303237080574,0.0720168050006032,0.9929644614458084,0.37653395533561707,0.0788955525495112,0.045093526132404804,0.548238860766093,0.5356578677892685
9,10.0,0.9939759047826131,0.5579040531317393,0.2029946442445119,0.07686553651622186,0.994631826877594,0.36610667407512665,0.13875185698270798,0.050282849464565516,0.5177715849876404,0.5087489560246468
10,11.0,0.9940216628710429,0.5730298062165579,0.2676149464646975,0.07492679469908277,0.9944742769002914,0.39408012852072716,0.2373376041650772,0.03820742230163887,0.489989842971166,0.48205312341451645
11,12.0,0.9941290807723999,0.5895186698436737,0.3617490797241529,0.11244191761439046,0.9941563755273819,0.3745235688984394,0.19251557812094688,0.08953182946424931,0.4613295110066732,0.4573062136769295
12,13.0,0.9943488256136577,0.6202277545134226,0.4388219992319743,0.2940850932523608,0.9944931119680405,0.4278876893222332,0.21912332996726036,0.2963857725262642,0.434276917775472,0.4276108220219612
13,14.0,0.9945560765266418,0.6353644625345866,0.46168199261029563,0.4259170127908389,0.9945053905248642,0.4178594499826431,0.26196854189038277,0.16575562980142422,0.41019771416982015,0.4110295996069908
14,15.0,0.9947814361254375,0.6566304429372152,0.49608655969301857,0.5082036489248276,0.9946064352989197,0.39137761294841766,0.2644750662147999,0.24767822213470936,0.3866536871592204,0.3841656967997551
15,16.0,0.9949384641647339,0.6708981823921204,0.5119982413450876,0.5365508975585301,0.9931674599647522,0.382291242480278,0.21660156548023224,0.2542428640444996,0.36452065348625184,0.38412580639123917
16,17.0,0.9951773365338643,0.6783260186513265,0.5356305360794067,0.6079465083281199,0.993145763874054,0.34863342344760895,0.26636506989598274,0.3518775701522827,0.3440809881687164,0.3657902926206589
17,18.0,0.995262439250946,0.6899120807647705,0.5459750807285308,0.6420532651742299,0.9940585941076279,0.3854065537452698,0.2947377786040306,0.2695274204015732,0.32528167406717934,0.3407963141798973
18,19.0,0.9953812185923259,0.6963885219891867,0.5485183628400166,0.6456981120506923,0.9942955076694489,0.3816524110734463,0.29008013382554054,0.2846896652918076,0.30829193512598674,0.32255133241415024
19,20.0,0.9955662147204081,0.7025220553080241,0.5548663751284282,0.6482149012883505,0.9936392158269882,0.39990154653787613,0.255139771848917,0.3214284721761942,0.2916911244392395,0.31672707945108414
20,21.0,0.9957323789596557,0.7138168557484945,0.5758918730417887,0.6781519385178884,0.9943694621324539,0.4060436710715294,0.3038521409034729,0.32397129700984806,0.2752937177817027,0.29555704444646835
21,22.0,0.9957806658744812,0.7219712654749553,0.5882141558329265,0.70160497824351,0.9949767142534256,0.4455854222178459,0.31743136048316956,0.2683595269918442,0.26059388935565947,0.2769482880830765
22,23.0,0.9958822464942932,0.7207971453666687,0.5818714606761932,0.6884509364763896,0.9949154853820801,0.4332287386059761,0.3008887991309166,0.2957347743213177,0.24855977257092793,0.26304956153035164
23,24.0,0.9960452651977539,0.7312789209683737,0.5962648479143778,0.7263921479384104,0.9951745718717575,0.4340420179069042,0.3099249079823494,0.3361584199592471,0.23442568798859914,0.25176000967621803
24,25.0,0.9962505308787027,0.7393546326955159,0.6153311562538147,0.7405756576855977,0.9949050545692444,0.4042827934026718,0.3212167099118233,0.3534872345626354,0.22142780860265096,0.2444426566362381
25,26.0,0.9964599792162577,0.7486987177530925,0.626291795571645,0.7497127803166708,0.9952020347118378,0.4262388199567795,0.3461432009935379,0.35531216114759445,0.20960562348365783,0.23102326691150665
26,27.0,0.9965140509605408,0.75052814245224,0.6264972400665283,0.7566410350799561,0.9954268336296082,0.4297341853380203,0.326394222676754,0.364594042301178,0.19962095896402995,0.22353874146938324
27,28.0,0.9966486461957296,0.7521719837188721,0.6350902438163757,0.7658266631762186,0.9951543807983398,0.43420542776584625,0.3334128186106682,0.33719434986414853,0.18961629370848337,0.21819305047392845
