epoch,t_dice_0,t_dice_1,t_dice_2,t_dice_3,v_dice_0,v_dice_1,v_dice_2,v_dice_3,t_loss,v_loss
1.0,0.7921368392308553,0.021918937799831232,0.025361059208710988,0.016450808153064524,0.9870330095291138,0.01665152493660571,0.02422551703057252,0.005807968558656285,26.369723409016927,31.600730895996094
2.0,0.9835463841756185,0.013019353982332784,0.019837175439267107,0.01252447466754044,0.9910843521356583,0.011009721358277602,0.01367137412307784,0.011739593697711825,29.641314926147462,32.47160053253174
3.0,0.987195029258728,0.004054098490984567,0.008513952831466061,0.045676250556328644,0.9922052770853043,0.00801261010565213,0.011253106378717348,0.07438927609473467,32.70962819417318,28.873277187347412
4.0,0.9875126179059347,0.0040231273823883385,0.008259604228563451,0.10229968491010367,0.9923641979694366,0.009370640473207459,0.013836204016115516,0.1651301570236683,31.409625396728515,24.560035705566406
5.0,0.9875873970985413,0.004749381285413013,0.008660721047005306,0.15771352660638513,0.9924132078886032,0.010923411857220344,0.014862211421132088,0.2784881740808487,30.60804130554199,23.397843837738037
6.0,0.9876067368189494,0.0060184954779106195,0.009712070275369722,0.21339976682987374,0.9924615323543549,0.006591162309632637,0.007577173397294246,0.5579689964652061,27.813690592447916,23.643610954284668
7.0,0.9876460647583007,0.007660266720243575,0.007626741299463902,0.2370985196934392,0.9924807697534561,0.006530775222927332,0.009583755876519717,0.7138836085796356,27.12293357849121,23.608912467956543
8.0,0.9876592381795247,0.010459125283814501,0.008959469439675256,0.2166804843954742,0.9924537986516953,0.011314717354252934,0.013019969337619841,0.6198887228965759,26.709494806925456,19.507079601287842
9.0,0.9876833359400431,0.01475138506803584,0.010066640287113841,0.2687588329563732,0.9923790842294693,0.016498287208378315,0.022421657340601087,0.42826077342033386,25.39080118815104,18.170332431793213
10.0,0.9877381459871928,0.026000191967371696,0.011673756585320614,0.2573022811006134,0.9923209697008133,0.024916223948821425,0.028727588360197842,0.43401846289634705,23.098205108642578,17.58484435081482
11.0,0.9878088974952698,0.04028068648379606,0.017254116673526974,0.21489193592841427,0.992417111992836,0.014383834437467158,0.014602584298700094,0.5054741874337196,21.57594674428304,19.367321968078613
12.0,0.9878882352511088,0.05312046612496488,0.01423513224358127,0.25362967791656654,0.992403656244278,0.025458185002207756,0.01935716182924807,0.560699000954628,21.45590445200602,17.11489486694336
13.0,0.9879878036181132,0.0734486363195659,0.01735084518198467,0.25088753684734305,0.9919930994510651,0.09793187701143324,0.06296964269131422,0.3089119251817465,19.404351348876954,14.571385860443115
14.0,0.988147055308024,0.09481951029427971,0.026426776420945923,0.20869262839201838,0.9924347996711731,0.05622010212391615,0.03132289397763088,0.42744619585573673,18.735302734375,15.989827632904053
15.0,0.9882612140973409,0.11765565332025289,0.020840216635842807,0.2228595284745097,0.9924609661102295,0.06536065170075744,0.026255410019075498,0.4750605970621109,17.978150367736816,18.808573961257935
16.0,0.9884628121058147,0.13893131361808628,0.029149022122922665,0.22015196630653613,0.992703303694725,0.06799219222739339,0.031737570170662366,0.5047625135630369,17.200916023254393,16.93639826774597
17.0,0.9885374053319296,0.15901839591562747,0.0289345719240373,0.1935393889256132,0.9927186518907547,0.10547448694705963,0.03936188970692456,0.5582332536578178,17.782325541178384,13.0282564163208
18.0,0.9888102992375691,0.18261073067784309,0.034342941793923575,0.2305384041989843,0.9928237646818161,0.11742923595011234,0.03825700329616666,0.48302291333675385,15.713276290893555,12.57032561302185
19.0,0.9889719295501709,0.2039053385456403,0.03918995826349904,0.22305321883643045,0.9907685220241547,0.1804621834307909,0.07775603048503399,0.2678267313167453,14.825511461893717,13.63413667678833
